Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Cows' milk,100,67.6,3.3,4.1,3.7,0.0,4.9,Dairy products
Milk skim,100,36.6,3.7,0.0,0.0,0.0,5.3,Dairy products
Buttermilk,100,51.6,3.7,2.0,1.6,0.0,5.3,Dairy products
"Evaporated, undiluted",100,136.9,6.3,7.9,7.1,0.0,9.5,Dairy products
Fortified milk,100,96.8,6.3,3.0,1.6,0.1,8.4,Dairy products
Powdered milk,100,500.0,26.2,27.2,23.3,0.0,37.9,Dairy products
"skim, instant",100,341.2,35.3,0.0,0.0,0.0,49.4,Dairy products
"skim, non-instant",100,341.2,35.3,0.0,0.0,1.2,49.4,Dairy products
Goats' milk,100,67.6,3.3,4.1,3.3,0.0,4.5,Dairy products
(1/2 cup ice cream),100,127.8,4.4,4.4,4.1,0.0,13.0,Dairy products
Cocoa,100,93.3,3.2,4.4,4.0,0.0,10.3,Dairy products
skim. milk,100,51.2,7.2,1.6,1.2,0.4,5.2,Dairy products
(cornstarch),100,110.9,3.6,4.0,3.6,0.0,16.1,Dairy products
Custard,100,114.9,5.2,5.6,4.4,0.0,11.3,Dairy products
Ice cream,100,159.6,3.2,9.6,8.5,0.0,15.4,Dairy products
Ice milk,100,144.7,4.7,5.3,4.7,0.0,16.8,Dairy products
Cream or half-and-half,100,141.7,3.3,12.5,10.8,0.0,4.2,Dairy products
or whipping,100,361.3,1.7,37.0,22.7,0.8,2.5,Dairy products
Cheese,100,106.7,13.3,4.9,4.4,0.0,2.7,Dairy products
uncreamed,100,86.7,16.9,0.0,0.0,0.0,2.7,Dairy products
Cheddar,100,411.8,23.5,35.3,29.4,0.0,0.0,Dairy products
"Cheddar, grated cup",100,403.6,25.0,33.9,30.4,0.0,1.8,Dairy products
Cream cheese,100,375.0,7.1,39.3,35.7,0.0,3.6,Dairy products
Processed cheese,100,375.0,25.0,32.1,28.6,0.0,0.0,Dairy products
Roquefort type,100,375.0,21.4,32.1,28.6,0.0,0.0,Dairy products
Swiss,100,375.0,25.0,28.6,25.0,0.0,0.0,Dairy products
Eggs raw,100,150.0,12.0,12.0,10.0,0.0,0.0,Dairy products
Eggs Scrambled or fried,100,171.9,10.2,12.5,10.9,0.0,0.8,Dairy products
Yolks,100,352.9,17.6,29.4,23.5,0.0,0.0,"Fats, Oils, Shortenings"
Butter,100,714.3,0.0,78.6,71.4,0.0,0.0,"Fats, Oils, Shortenings"
Butter,100,100.9,101.8,102.7,103.6,104.5,105.4,"Fats, Oils, Shortenings"
Butter,100,100.9,101.8,102.7,103.6,104.5,105.4,"Fats, Oils, Shortenings"
Hydrogenated cooking fat,100,665.0,0.0,100.0,88.0,0.0,0.0,"Fats, Oils, Shortenings"
Lard,100,901.8,0.0,100.0,83.6,0.0,0.0,"Fats, Oils, Shortenings"
Margarine,100,719.6,0.0,81.3,67.9,0.0,0.0,"Fats, Oils, Shortenings"
"Margarine, 2 pat or",100,714.3,0.0,78.6,64.3,0.0,0.0,"Fats, Oils, Shortenings"
Mayonnaise,100,733.3,0.0,80.0,33.3,0.0,0.0,"Fats, Oils, Shortenings"
Corn oil,100,892.9,0.0,100.0,35.7,0.0,0.0,"Fats, Oils, Shortenings"
Olive oil,100,892.9,0.0,100.0,21.4,0.0,0.0,"Fats, Oils, Shortenings"
Safflower seed oil,100,892.9,0.0,100.0,21.4,0.0,0.0,"Fats, Oils, Shortenings"
French dressing,100,400.0,0.0,40.0,13.3,0.0,13.3,"Fats, Oils, Shortenings"
Thousand Island sauce,100,500.0,0.0,53.3,20.0,0.0,6.7,"Fats, Oils, Shortenings"
Salt pork,100,783.3,5.0,91.7,26.7,0.0,0.0,"Meat, Poultry"
Bacon,100,593.8,25.0,50.0,43.8,0.0,6.3,"Meat, Poultry"
Beef,100,288.2,27.1,18.8,17.6,0.0,0.0,"Meat, Poultry"
Hamburger,100,288.2,24.7,20.0,17.6,0.0,0.0,"Meat, Poultry"
Ground lean,100,217.6,28.2,11.8,10.6,0.0,0.0,"Meat, Poultry"
Roast beef,100,458.8,18.8,42.4,41.2,0.0,0.0,"Meat, Poultry"
Steak,100,388.2,23.5,31.8,29.4,0.0,0.0,"Meat, Poultry"
"Steak, lean, as round",100,258.8,28.2,14.1,12.9,0.0,0.0,"Meat, Poultry"
Corned beef,100,217.6,25.9,11.8,10.6,0.0,0.0,"Meat, Poultry"
Corned beef hash canned,100,141.2,14.1,9.4,8.2,0.0,7.1,"Meat, Poultry"
Corned beef hash Dried,100,205.4,33.9,7.1,7.1,0.0,0.0,"Meat, Poultry"
Pot-pie,100,211.5,7.9,12.3,11.0,0.0,14.1,"Meat, Poultry"
Corned beef hash Stew,100,78.7,6.4,4.3,3.8,0.0,6.4,"Meat, Poultry"
chicken,100,217.6,27.1,10.6,8.2,0.0,0.0,"Meat, Poultry"
"Fried, breast or leg and thigh chicken",100,288.2,29.4,17.6,12.9,0.0,0.0,"Meat, Poultry"
Roasted chicken,100,290.0,25.0,20.0,16.0,0.0,0.0,"Meat, Poultry"
"Chicken livers, fried",100,140.0,22.0,14.0,12.0,0.0,2.3,"Meat, Poultry"
"Duck, domestic",100,370.0,16.0,28.0,0.0,0.0,0.0,"Meat, Poultry"
"Lamb, chop, broiled",100,417.4,20.9,30.4,28.7,0.0,0.0,"Meat, Poultry"
Leg roasted,100,365.1,23.3,16.3,16.3,0.0,0.0,"Meat, Poultry"
"Shoulder, braised",100,335.3,21.2,27.1,24.7,0.0,0.0,"Meat, Poultry"
"Pork, chop, 1 thick",100,260.0,16.0,21.0,18.0,0.0,0.0,"Meat, Poultry"
